Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
mostly not knowing when in an interview process it's appropriate to bring up health and mental health. Should it wait until I have an offer? Would it put off a potential boss if I seem demanding or difficult?,"I don't want to assume it will interfere with work, and dont want to seem like a difficult hire",,,"it wasn't a good thing. mostly off hand comments about people being ""crazy"" or ""off their meds""",,,,allow remote and flexible work to accommodate appointments;  discuss mental health when onboarding new employees and talking about benefits; promote diverse people and background to normalize,"comments about others' behavior/ health as a negative. mental health as a pejorative (a crazy person) and my biggest annoyance - confusing bipolar / multiple personalities with ""Schizo"" ","tech is doing better with mental health than other industries.  I see other companies that are good about letting  folks who need to go to appointments during the day, take personal time, etc. It is at least better than other industries. ",mostly knowing interview process appropriate bring health mental health wait offer would put potential bos seem demanding difficult,dont want assume interfere work dont want seem like difficult hire,,,wasnt good thing mostly hand comment people crazy med,,,,allow remote flexible work accommodate appointment discus mental health onboarding new employee talking benefit promote diverse people background normalize,comment others behavior health negative mental health pejorative crazy person biggest annoyance confusing bipolar multiple personality schizo,tech better mental health industry see company good letting folk need go appointment day take personal time etc least better industry,mostly knowing interview process appropriate bring health mental health wait offer would put potential bos seem demanding difficult dont want assume interfere work dont want seem like difficult hire   wasnt good thing mostly hand comment people crazy med    allow remote flexible work accommodate appointment discus mental health onboarding new employee talking benefit promote diverse people background normalize comment others behavior health negative mental health pejorative crazy person biggest annoyance confusing bipolar multiple personality schizo tech better mental health industry see company good letting folk need go appointment day take personal time etc least better industry,-0.7626,Negative,United States of America
Discrimination ,Discrimination ,,Started talking about stress,Talking about medication ,,,,Increase services and awareness ,,,discrimination,discrimination,,started talking stress,talking medication,,,,increase service awareness,,,discrimination discrimination  started talking stress talking medication    increase service awareness  ,-0.128,Negative,Nigeria
"If it directly impacted my job, I would be more willing to divulge such information. But I would be wary of perceived or actual judgment and/or discrimination at the hands of my employer. This discrimination could be very implicit, e.g. - exclusion from important conversations pertinent to my job, exclusion from outside colleague gatherings (happy hours, lunches, etc.). ","Mental health concerns still seem more stigmatized than physical health concerns, particularly  in a very ""chicken or egg"" way - what I mean by that is, is mental health still stigmatized in the workplace because employees don't vocalize their issues or concerns, or is it stigmatized because employees DO bring up these concerns and employers don't actively provide solutions to help solve the problem? I suspect the latter. ",,"In discussing our workload, my coworker and I have talked about how we fit in to the current environment, and how stressful it feels to be left out of certain conversations, both in person and electronically. The conversation's purpose was definitely to vent - she and I both shared similar feelings, and were able to confide in one another in a meaningful way. ",See answer to letter O.,,,,"I think the first step is acknowledging mental health as a priority in the tech community. In this industry, there's huge emphasis placed on output of information, data, and tangible results - often at the expense of the employees actually producing these results. Recognition and acknowledgment on a real, fundamental level would do a lot to change companies' stances on mental health. ","My colleague was experiencing work burnout due to a number of factors (we had very high expectations when it came to work output, and the job demanded a fair amount of travel). When she expressed this feeling of burnout, her options to mitigate the problem were pretty limited - take on less work (and get paid less, since we were contractors), or forfeit her contract, neither of which were viable options considering she was the sole breadwinner between her and her husband. She ended up grinning and bearing with it at a comparably intense level, then became pregnant and eventually quit the job. I suspect that had she received proper support, she would have stayed with the company even during her pregnancy. ",,directly impacted job would willing divulge information would wary perceived actual judgment andor discrimination hand employer discrimination could implicit eg exclusion important conversation pertinent job exclusion outside colleague gathering happy hour lunch etc,mental health concern still seem stigmatized physical health concern particularly chicken egg way mean mental health still stigmatized workplace employee dont vocalize issue concern stigmatized employee bring concern employer dont actively provide solution help solve problem suspect latter,,discussing workload coworker talked fit current environment stressful feel left certain conversation person electronically conversation purpose definitely vent shared similar feeling able confide one another meaningful way,see answer letter,,,,think first step acknowledging mental health priority tech community industry there huge emphasis placed output information data tangible result often expense employee actually producing result recognition acknowledgment real fundamental level would lot change company stance mental health,colleague experiencing work burnout due number factor high expectation came work output job demanded fair amount travel expressed feeling burnout option mitigate problem pretty limited take less work get paid less since contractor forfeit contract neither viable option considering sole breadwinner husband ended grinning bearing comparably intense level became pregnant eventually quit job suspect received proper support would stayed company even pregnancy,,directly impacted job would willing divulge information would wary perceived actual judgment andor discrimination hand employer discrimination could implicit eg exclusion important conversation pertinent job exclusion outside colleague gathering happy hour lunch etc mental health concern still seem stigmatized physical health concern particularly chicken egg way mean mental health still stigmatized workplace employee dont vocalize issue concern stigmatized employee bring concern employer dont actively provide solution help solve problem suspect latter  discussing workload coworker talked fit current environment stressful feel left certain conversation person electronically conversation purpose definitely vent shared similar feeling able confide one another meaningful way see answer letter    think first step acknowledging mental health priority tech community industry there huge emphasis placed output information data tangible result often expense employee actually producing result recognition acknowledgment real fundamental level would lot change company stance mental health colleague experiencing work burnout due number factor high expectation came work output job demanded fair amount travel expressed feeling burnout option mitigate problem pretty limited take less work get paid less since contractor forfeit contract neither viable option considering sole breadwinner husband ended grinning bearing comparably intense level became pregnant eventually quit job suspect received proper support would stayed company even pregnancy ,0.939,Positive,United States of America
"Only if the issue were applicable under the ADA; otherwise, it should not be discussed in the interview.","Because that seems guaranteed to exclude one from getting the job, regardless of what may or may not be protected by the ADA.",,"My manager (and longtime friend) and I discuss depression and mindfulness meditation, supporting each other through difficult times.",I was a sympathetic ear as my coworker navigated his divorce.,"As I was going through a difficult time, I asked my manager above all to not treat me differently nor attribute my actions at work to stuff going on outside of work.",,,Get rid of open floorplans; allow more work-from-home days. The constant distractions from other people is aggravating.,,"Some men in tech bravely speak out about their struggles with depression and anxiety, but I don't think women are afforded the same support and respect. It would damage my career to write one of those confessional blog posts.",issue applicable ada otherwise discussed interview,seems guaranteed exclude one getting job regardless may may protected ada,,manager longtime friend discus depression mindfulness meditation supporting difficult time,sympathetic ear coworker navigated divorce,going difficult time asked manager treat differently attribute action work stuff going outside work,,,get rid open floorplans allow workfromhome day constant distraction people aggravating,,men tech bravely speak struggle depression anxiety dont think woman afforded support respect would damage career write one confessional blog post,issue applicable ada otherwise discussed interview seems guaranteed exclude one getting job regardless may may protected ada  manager longtime friend discus depression mindfulness meditation supporting difficult time sympathetic ear coworker navigated divorce going difficult time asked manager treat differently attribute action work stuff going outside work   get rid open floorplans allow workfromhome day constant distraction people aggravating  men tech bravely speak struggle depression anxiety dont think woman afforded support respect would damage career write one confessional blog post,0.1779,Positive,Ireland
It's likely to be irrelevant,I no longer have PTSD,,,,"I was diagnosed with PTSD during a time when my supervisor was under investigation for embezzling and I had access to some of the paper trail. He retaliated. I worked with his superiors, who were very supportive.",,It was mostly vicious (if true) gossip about a coworker having been institutionalized for a long time.,More emphasis on things like meditation and other techniques to increase happiness,"See above, about employee who was previously institutionalized. Her supervisor was the one gossiping.",Thanks for doing this work!,likely irrelevant,longer ptsd,,,,diagnosed ptsd time supervisor investigation embezzling access paper trail retaliated worked superior supportive,,mostly vicious true gossip coworker institutionalized long time,emphasis thing like meditation technique increase happiness,see employee previously institutionalized supervisor one gossiping,thanks work,likely irrelevant longer ptsd    diagnosed ptsd time supervisor investigation embezzling access paper trail retaliated worked superior supportive  mostly vicious true gossip coworker institutionalized long time emphasis thing like meditation technique increase happiness see employee previously institutionalized supervisor one gossiping thanks work,0.9186,Positive,United States of America
"I would avoid it unless they specifically asked about physical health issues. If they asked, I would hedge and minimize it.","There is so much prejudice against anything ""mental health"" related that I would fear being rejected simply by mentioning it.
The real question is ""can I do the job"" and the prospective employer doesn't need to know the specifics & details about my mental health issues.",,"In a conversation about other matters, I included ""this, that, this, and by the way since I have __disorder__ it makes ..."" so it was a side issue but relevant to the main issue. Coworkers simply took it in stride as a relevant consideration.",,,,,Raise awareness - mental health is mostly like physical health. Diabetes and Depression are both caused by the inability of an organ to regulate chemical balances in the body.,Office gossip about the person.  I don't know if it affected their career progress.,I think the main problem is _Ignorance_ about the causes and the effects of mental illness.,would avoid unless specifically asked physical health issue asked would hedge minimize,much prejudice anything mental health related would fear rejected simply mentioning real question job prospective employer doesnt need know specific detail mental health issue,,conversation matter included way since __disorder__ make side issue relevant main issue coworkers simply took stride relevant consideration,,,,,raise awareness mental health mostly like physical health diabetes depression caused inability organ regulate chemical balance body,office gossip person dont know affected career progress,think main problem _ignorance_ cause effect mental illness,would avoid unless specifically asked physical health issue asked would hedge minimize much prejudice anything mental health related would fear rejected simply mentioning real question job prospective employer doesnt need know specific detail mental health issue  conversation matter included way since __disorder__ make side issue relevant main issue coworkers simply took stride relevant consideration     raise awareness mental health mostly like physical health diabetes depression caused inability organ regulate chemical balance body office gossip person dont know affected career progress think main problem _ignorance_ cause effect mental illness,-0.9562,Negative,Kenya
I feel like it would lessem my chances of getting hired,I feel it would decrease my chances of getting hired,I told my direct supervisor about my depression/anxiety to request to work remotely for the remainder of the day. He was very receptive and supportive. ,I was having an anxiety attack at my desk. My coworker asked if I needed anything and was very compassionate. ,,I was discussing my depression/anxiety and my employer still put my in situations that triggered anxiety attacks ,My coworkers and I discussed mental health with each other and tried to be supportive,A previous coworker had debilitating anxiety. We split tasks at work to minimize the effect on each of our mental health disorders,,,,feel like would lessem chance getting hired,feel would decrease chance getting hired,told direct supervisor depressionanxiety request work remotely remainder day receptive supportive,anxiety attack desk coworker asked needed anything compassionate,,discussing depressionanxiety employer still put situation triggered anxiety attack,coworkers discussed mental health tried supportive,previous coworker debilitating anxiety split task work minimize effect mental health disorder,,,,feel like would lessem chance getting hired feel would decrease chance getting hired told direct supervisor depressionanxiety request work remotely remainder day receptive supportive anxiety attack desk coworker asked needed anything compassionate  discussing depressionanxiety employer still put situation triggered anxiety attack coworkers discussed mental health tried supportive previous coworker debilitating anxiety split task work minimize effect mental health disorder   ,0.0258,Neutral,United States of America
I don't have any choice - there's lots of things I can't do and my disability is invisible,"I'm not required to disclose it and since I already don't ""look"" right, don't want to give people more reason to doubt me",,,Just mentioning that we needed to give a little space to someone who needed our patience at this time,,I have seasonal depression so I can travel more and less at different times of year,,Encourage people to look after themselves before an issue,Employer talked about the reasons a co-worker was off sick in a loud and insensitive manner with other employees,"it's important to talk about this more and OSMI is really helping, thanks :)",dont choice there lot thing cant disability invisible,im required disclose since already dont look right dont want give people reason doubt,,,mentioning needed give little space someone needed patience time,,seasonal depression travel less different time year,,encourage people look issue,employer talked reason coworker sick loud insensitive manner employee,important talk osmi really helping thanks,dont choice there lot thing cant disability invisible im required disclose since already dont look right dont want give people reason doubt   mentioning needed give little space someone needed patience time  seasonal depression travel less different time year  encourage people look issue employer talked reason coworker sick loud insensitive manner employee important talk osmi really helping thanks,-0.2145,Negative,France
"It's too easy to discriminate at the interview level, discussing any issues would open up to rejection on those grounds.",Same as physical - it's too easy to discriminate during the interview phase,,,,My relationship with the previous employer with whom I discussed mental health was good enough that it was taken in stride and we were able to talk pretty openly about it.,We were open with each other about mental and physical health.,"We were open with one another, including talking about medications and side effects.",Be open about mental health services and provide similar perks to the physical health perks many are providing and talking about,"The manager was abusive in general and attempts to explain mental health issues resulted in essentially plugged ears and ""la la la, I'm not listening""",,easy discriminate interview level discussing issue would open rejection ground,physical easy discriminate interview phase,,,,relationship previous employer discussed mental health good enough taken stride able talk pretty openly,open mental physical health,open one another including talking medication side effect,open mental health service provide similar perk physical health perk many providing talking,manager abusive general attempt explain mental health issue resulted essentially plugged ear la la la im listening,,easy discriminate interview level discussing issue would open rejection ground physical easy discriminate interview phase    relationship previous employer discussed mental health good enough taken stride able talk pretty openly open mental physical health open one another including talking medication side effect open mental health service provide similar perk physical health perk many providing talking manager abusive general attempt explain mental health issue resulted essentially plugged ear la la la im listening ,0.4939,Positive,United States of America
I'm not sure they I want to share it with anyone I just met,I'm not sure they I want to share it with anyone I just met,,"It was about a problem of temporary raising stress from the job.
They understand it and feel the same situation so we could handle it together","It was about a problem of temporary raising stress from the job.
They understand it and feel the same situation so we could handle it together",,,,Be clear that we are humans and that feelings (good and bad) are part of our lives and jobs,,,im sure want share anyone met,im sure want share anyone met,,problem temporary raising stress job understand feel situation could handle together,problem temporary raising stress job understand feel situation could handle together,,,,clear human feeling good bad part life job,,,im sure want share anyone met im sure want share anyone met  problem temporary raising stress job understand feel situation could handle together problem temporary raising stress job understand feel situation could handle together    clear human feeling good bad part life job  ,0.0258,Neutral,United States of America
I would not bring up a physical health issue in an interview because it's too much a personal thing. ,I would not bring up a physical health issue in an interview because it's too much a personal thing. ,,,,,,,"Keep in mind that too much work is no good, do meditation and breath sessions during the working hours",,,would bring physical health issue interview much personal thing,would bring physical health issue interview much personal thing,,,,,,,keep mind much work good meditation breath session working hour,,,would bring physical health issue interview much personal thing would bring physical health issue interview much personal thing       keep mind much work good meditation breath session working hour  ,0.4404,Positive,United States of America
"Unless it affected my ability to my job, it would be irrelevant",If it might affect my ability to my job,,,,Talked about depression and the need for time off,"Discussing issues, generally supportive",,,,,unless affected ability job would irrelevant,might affect ability job,,,,talked depression need time,discussing issue generally supportive,,,,,unless affected ability job would irrelevant might affect ability job    talked depression need time discussing issue generally supportive    ,0.128,Positive,United States of America
None of their business,None of their business,,They were understanding.,,,,,I think big corporations do a better job than small companies or startups,,,none business,none business,,understanding,,,,,think big corporation better job small company startup,,,none business none business  understanding     think big corporation better job small company startup  ,0.4404,Positive,United States of America
Someone may be physically challenged but mentally can be strong to do any particular job.,Some one mentally sick may not produce proper outcome.,,,,,,,"They can create an amusement center for the employees. they should provide a proper time of leisure for the employment. The employee should give enough time to their family. And the most important thing is that, every employee have to be given safe environment of job security and freedom as much as it can be able.","In mental health issue, people think it negatively. they think this wont be cured and the person who affected with it he/she wont be able to have regular  work again.","Married or Not
Salary Range
Social Status
Family Type or Family member No.
Job security ",someone may physically challenged mentally strong particular job,one mentally sick may produce proper outcome,,,,,,,create amusement center employee provide proper time leisure employment employee give enough time family important thing every employee given safe environment job security freedom much able,mental health issue people think negatively think wont cured person affected heshe wont able regular work,married salary range social status family type family member job security,someone may physically challenged mentally strong particular job one mentally sick may produce proper outcome       create amusement center employee provide proper time leisure employment employee give enough time family important thing every employee given safe environment job security freedom much able mental health issue people think negatively think wont cured person affected heshe wont able regular work married salary range social status family type family member job security,0.9464,Positive,United States of America
"People have not been very kind about physical health issues, so I've learned to stop taking about it.","Employers are crappy about mental health issues (and I may have been fired because of it), so I have no desire to bring it up in an interview.",,,,I was either feared or not believed (that I have PTSD). It's probable that I was fired because of it.,"The conversation involved a male coworker triggering my PTSD and essentially blocking my path out of a conference room (there were no other exits). Upon complaining about this, no action was taken. A few months later, I was dismissed due to ""budget"".","We discussed a coworker that we were worried would commit suicide. There should be resources for coworkers who think that someone might commit suicide. Also, various coworkers had degrees of mental illness, so we talked about it away from ""bosses"".",Stop putting white men in charge. Provide positive support for individuals who self-identify.,People being afraid of my PTSD. People not believing that I have MS or PTSD.,,people kind physical health issue ive learned stop taking,employer crappy mental health issue may fired desire bring interview,,,,either feared believed ptsd probable fired,conversation involved male coworker triggering ptsd essentially blocking path conference room exit upon complaining action taken month later dismissed due budget,discussed coworker worried would commit suicide resource coworkers think someone might commit suicide also various coworkers degree mental illness talked away boss,stop putting white men charge provide positive support individual selfidentify,people afraid ptsd people believing m ptsd,,people kind physical health issue ive learned stop taking employer crappy mental health issue may fired desire bring interview    either feared believed ptsd probable fired conversation involved male coworker triggering ptsd essentially blocking path conference room exit upon complaining action taken month later dismissed due budget discussed coworker worried would commit suicide resource coworkers think someone might commit suicide also various coworkers degree mental illness talked away boss stop putting white men charge provide positive support individual selfidentify people afraid ptsd people believing m ptsd ,-0.9633,Negative,United States of America
In some respects all of my health is my personal business.  I am not comfortable sharing it until I know the people and the environment.  As long as I can be honest with myself and feel that work will not be affected.,Again I need to feel comfortable with those around me first.  When treated properly my mental health does not affect my work.,I spoke with the head of HR regarding a mental health issue and the coverages the company provided to help me cover the costs.  She was very supportive and continues to check in on me from time to time.,"Will co-workers I trust I will discuss some of the more ""simple"" aspects of my mental health.   I don't mind talking about anxiety or mentioning that I speak to a therapist, but I generally will not go past that.","Someone who reports to me has described depression and anxiety with me.  It has, rarely, but has affected his ability to come to work.  I shared with him my experiences in the hope that he would feel that I can empathize with him and that its a safe place to discuss it if he needs help.",,,,Make sure that mental health options are clearly outlined in employee benefits literature.  Provide employees a safe place to talk if need be like an EAP.  Provide quiet rooms and personal spaces to find time to relax.,,,respect health personal business comfortable sharing know people environment long honest feel work affected,need feel comfortable around first treated properly mental health affect work,spoke head hr regarding mental health issue coverage company provided help cover cost supportive continues check time time,coworkers trust discus simple aspect mental health dont mind talking anxiety mentioning speak therapist generally go past,someone report described depression anxiety rarely affected ability come work shared experience hope would feel empathize safe place discus need help,,,,make sure mental health option clearly outlined employee benefit literature provide employee safe place talk need like eap provide quiet room personal space find time relax,,,respect health personal business comfortable sharing know people environment long honest feel work affected need feel comfortable around first treated properly mental health affect work spoke head hr regarding mental health issue coverage company provided help cover cost supportive continues check time time coworkers trust discus simple aspect mental health dont mind talking anxiety mentioning speak therapist generally go past someone report described depression anxiety rarely affected ability come work shared experience hope would feel empathize safe place discus need help    make sure mental health option clearly outlined employee benefit literature provide employee safe place talk need like eap provide quiet room personal space find time relax  ,0.9914,Positive,Uruguay
"If it is not effecting my job, I see not point in bringing it up. ","If it is not effecting my job, I see no point in bringing it up. ",,,okay,,,,I don't have a mental health issue so I am unsure. ,,no,effecting job see point bringing,effecting job see point bringing,,,okay,,,,dont mental health issue unsure,,,effecting job see point bringing effecting job see point bringing   okay    dont mental health issue unsure  ,-0.0258,Neutral,United States of America
It might impact if I were to be hired or not.,It's way too personal.,I needed to take time off of work due to a traumatic event that made my mental health much worse. They were very supportive.,"I have conversations in passing, referring to anxiety  most often.",We shared our experiences with depression and anxiety via Slack DMs. I've done this with several people.,"I was disclosing why I had to leave, and that the job severely impacted my mental health. It went poorly.",We shared our mutual experiences with mental health,,,,,might impact hired,way personal,needed take time work due traumatic event made mental health much worse supportive,conversation passing referring anxiety often,shared experience depression anxiety via slack dm ive done several people,disclosing leave job severely impacted mental health went poorly,shared mutual experience mental health,,,,,might impact hired way personal needed take time work due traumatic event made mental health much worse supportive conversation passing referring anxiety often shared experience depression anxiety via slack dm ive done several people disclosing leave job severely impacted mental health went poorly shared mutual experience mental health    ,-0.8779,Negative,United States of America
Discrimination is a thing.,Discrimination is a thing.,,,,,,,Manager training to understand mental illness and how to respond in at least a non-toxic way. Understanding for work accomdations (i.e. WFH).,Victim blaming. Removing responsibility from the person.,Men causing or exacerbating mental health issues URM developers have needs to be talked about.,discrimination thing,discrimination thing,,,,,,,manager training understand mental illness respond least nontoxic way understanding work accomdations ie wfh,victim blaming removing responsibility person,men causing exacerbating mental health issue urm developer need talked,discrimination thing discrimination thing       manager training understand mental illness respond least nontoxic way understanding work accomdations ie wfh victim blaming removing responsibility person men causing exacerbating mental health issue urm developer need talked,-0.7906,Negative,United States of America
I want to get the accommodations that I need to do my job well. Cannot get those if you are not honest.,"If I need accommodations in the future, I don't want my employer to think I am lying. If I tell them proactively, they cannot claim later that they did not know this was a legit issue for me",supportive,"supportive, empathetic","stressful, they were exhausted, happy they were not alone","skeptical, friendly to my face but I don't think they believed me behind my back","mixed, some skeptical some supportive. Many had a ""suck it up"" attitutde","stressed, exhausted, felt like I had to take on their burden",,"Not fully informed of accommodations and benefits I was entitled to, pressure to come back to work before ready",,want get accommodation need job well get honest,need accommodation future dont want employer think lying tell proactively claim later know legit issue,supportive,supportive empathetic,stressful exhausted happy alone,skeptical friendly face dont think believed behind back,mixed skeptical supportive many suck attitutde,stressed exhausted felt like take burden,,fully informed accommodation benefit entitled pressure come back work ready,,want get accommodation need job well get honest need accommodation future dont want employer think lying tell proactively claim later know legit issue supportive supportive empathetic stressful exhausted happy alone skeptical friendly face dont think believed behind back mixed skeptical supportive many suck attitutde stressed exhausted felt like take burden  fully informed accommodation benefit entitled pressure come back work ready ,0.5945,Positive,United States of America
i dont want to be pigeonholed,I dont want to be pigeonholed,,,they talked about going to therapy,,,,realize when treated a person will provide good work and when it isnt treated the company will spend more money on sick time and ok work,Noticed those people dont seem to move up,,dont want pigeonholed,dont want pigeonholed,,,talked going therapy,,,,realize treated person provide good work isnt treated company spend money sick time ok work,noticed people dont seem move,,dont want pigeonholed dont want pigeonholed   talked going therapy    realize treated person provide good work isnt treated company spend money sick time ok work noticed people dont seem move ,0.0915,Positive,United States of America
Would likely only bring it up if it would impact my job performance.,Wouldn't want to work for an employer who isn't cool with my diagnosis. I'm very privileged that I have many work options available.,,,,,,,We could talk about it. We could stop having businesses that have crunch times. We could make it easier for folks to know what mental health options are available. We could stop stigmatising mental health as a society.,,,would likely bring would impact job performance,wouldnt want work employer isnt cool diagnosis im privileged many work option available,,,,,,,could talk could stop business crunch time could make easier folk know mental health option available could stop stigmatising mental health society,,,would likely bring would impact job performance wouldnt want work employer isnt cool diagnosis im privileged many work option available       could talk could stop business crunch time could make easier folk know mental health option available could stop stigmatising mental health society  ,0.0299,Neutral,United States of America
"If I thought I was otherwise qualified for the job, and revealing the health issue would not increase my chances of getting the job, then I wouldn't bother revealing it. What would be the possible upside of that decision?","Too much stigma in society, too few people trained not to fear it, too many undiagnosed people judging those who have been diagnosed.",,Spoke about anxiety. Shared stories with each other. There was acceptance all around. ,,,"Very limited. Most information shared was after we stopped working together. Information shared while we worked together was about friends and family in the abstract, and not specific to any diagnosis or issues that were current at the time. ",,"Meaningful support, at a minimum, in the form of acknowledging mental health and encouraging a non-stigmatized attitude toward mental health issues.",,,thought otherwise qualified job revealing health issue would increase chance getting job wouldnt bother revealing would possible upside decision,much stigma society people trained fear many undiagnosed people judging diagnosed,,spoke anxiety shared story acceptance around,,,limited information shared stopped working together information shared worked together friend family abstract specific diagnosis issue current time,,meaningful support minimum form acknowledging mental health encouraging nonstigmatized attitude toward mental health issue,,,thought otherwise qualified job revealing health issue would increase chance getting job wouldnt bother revealing would possible upside decision much stigma society people trained fear many undiagnosed people judging diagnosed  spoke anxiety shared story acceptance around   limited information shared stopped working together information shared worked together friend family abstract specific diagnosis issue current time  meaningful support minimum form acknowledging mental health encouraging nonstigmatized attitude toward mental health issue  ,0.9548,Positive,United States of America
It's a negative concern,"In an interview? If you're trying to get a job, the last thing you want to do is throw red flags. I suppose I would ask something along the lines of, how important is openness re: mental health in this workplace",,One of my coworkers studied in a Buddhist monastery for a period of time. I meditate and am generally interested in awareness and the value of mental health. We've discussed our different views and practices for meditation and mindfulness,,,"A very good friend that also struggled with depression ,eating disorders, etc, very helpful and open",same as above,,,,negative concern,interview youre trying get job last thing want throw red flag suppose would ask something along line important openness mental health workplace,,one coworkers studied buddhist monastery period time meditate generally interested awareness value mental health weve discussed different view practice meditation mindfulness,,,good friend also struggled depression eating disorder etc helpful open,,,,,negative concern interview youre trying get job last thing want throw red flag suppose would ask something along line important openness mental health workplace  one coworkers studied buddhist monastery period time meditate generally interested awareness value mental health weve discussed different view practice meditation mindfulness   good friend also struggled depression eating disorder etc helpful open    ,0.6124,Positive,United States of America
I'd be afraid that mentioning a disability so early on would make them see me as high maintenance.,I'd be afraid that mentioning a disability so early on would make them see me as high maintenance.,"I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on.","I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on.",,"I've shared my diagnosis, what challenges I face, the coping mechanisms I have, and new coping mechanisms I'm working on.",,,Normalize it. Encourage healthy work/life balance. Discourage hero culture.,Lack of empathy and understanding. Minimizing and questioning the validity.,,id afraid mentioning disability early would make see high maintenance,id afraid mentioning disability early would make see high maintenance,ive shared diagnosis challenge face coping mechanism new coping mechanism im working,ive shared diagnosis challenge face coping mechanism new coping mechanism im working,,ive shared diagnosis challenge face coping mechanism new coping mechanism im working,,,normalize encourage healthy worklife balance discourage hero culture,lack empathy understanding minimizing questioning validity,,id afraid mentioning disability early would make see high maintenance id afraid mentioning disability early would make see high maintenance ive shared diagnosis challenge face coping mechanism new coping mechanism im working ive shared diagnosis challenge face coping mechanism new coping mechanism im working  ive shared diagnosis challenge face coping mechanism new coping mechanism im working   normalize encourage healthy worklife balance discourage hero culture lack empathy understanding minimizing questioning validity ,0.9042,Positive,United States of America
"I'm not sure, I've never had one to disclose, so I'm not sure how I'd feel about it. I guess if it interfered with the job role I took on, I would disclose it","There's still a lot of stigma, I don't want to be unfairly judged. I don't want to look like I'm being overdramatic/oversharing by bringing it up in an interview. ","He'd been only coming to my desk to criticise my work, and we hadn't had a non-work related chat in a while. I let him know that as I suffer from depression with a side plate of SAD, I was struggling with this kind of interaction and I needed more praise/positive attention. He was very understanding and changed his actions accordingly.","We have many, many conversations about mental health as both myself and another coworker suffer from anxiety disorders and depression, and we've discussed with the wider workplace how to have a more mentally healthy workplace. We also have a mental health channel in our Slack.","Many conversations, often. Not sleeping well because of anxiety, having had to take leave at their last place because of anxiety and depression etc. And we have a mental-health channel on Slack to discuss day-to-day mental health.",,"I was suffering from a major depressive episode while working in retail, lots of my coworkers realised it before I did and reached out to check if I was okay",,"More outreach, more understanding of limitations (too many job adverts that list going above and beyond/being a ""rockstar"" etc. which is inaccessible to people who need time to decompress and need periods of less stress between projects). More openness in general.",,"I'm from the UK, which is fairly different (since we don't have health insurance)",im sure ive never one disclose im sure id feel guess interfered job role took would disclose,there still lot stigma dont want unfairly judged dont want look like im overdramaticoversharing bringing interview,hed coming desk criticise work hadnt nonwork related chat let know suffer depression side plate sad struggling kind interaction needed praisepositive attention understanding changed action accordingly,many many conversation mental health another coworker suffer anxiety disorder depression weve discussed wider workplace mentally healthy workplace also mental health channel slack,many conversation often sleeping well anxiety take leave last place anxiety depression etc mentalhealth channel slack discus daytoday mental health,,suffering major depressive episode working retail lot coworkers realised reached check okay,,outreach understanding limitation many job advert list going beyondbeing rockstar etc inaccessible people need time decompress need period less stress project openness general,,im uk fairly different since dont health insurance,im sure ive never one disclose im sure id feel guess interfered job role took would disclose there still lot stigma dont want unfairly judged dont want look like im overdramaticoversharing bringing interview hed coming desk criticise work hadnt nonwork related chat let know suffer depression side plate sad struggling kind interaction needed praisepositive attention understanding changed action accordingly many many conversation mental health another coworker suffer anxiety disorder depression weve discussed wider workplace mentally healthy workplace also mental health channel slack many conversation often sleeping well anxiety take leave last place anxiety depression etc mentalhealth channel slack discus daytoday mental health  suffering major depressive episode working retail lot coworkers realised reached check okay  outreach understanding limitation many job advert list going beyondbeing rockstar etc inaccessible people need time decompress need period less stress project openness general  im uk fairly different since dont health insurance,-0.9809,Negative,United States of America
