Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
To settle any expectations from both sides,To settle any expectations from both sides,,,,,,,,,,settle expectation side,settle expectation side,,,,,,,,,,settle expectation side settle expectation side         ,0,Neutral,United States of America
"If it would interfere with my work or availability to work, then it’s important to know if the employer would accept that.",Depends on the impact it woould have in my ability to work.also there is some stigma.,,Anxiety related behaviors,,,"Anxiety related, possible depressive episode, they were supportive, offered some advice regarding the context of the situation.",They mentioned what was like when they had depression.,"There is so much prejudice and biases in the tech industry, i doubt much can be done, probably initiatives to raise awareness. ",,,would interfere work availability work important know employer would accept,depends impact woould ability workalso stigma,,anxiety related behavior,,,anxiety related possible depressive episode supportive offered advice regarding context situation,mentioned like depression,much prejudice bias tech industry doubt much done probably initiative raise awareness,,,would interfere work availability work important know employer would accept depends impact woould ability workalso stigma  anxiety related behavior   anxiety related possible depressive episode supportive offered advice regarding context situation mentioned like depression much prejudice bias tech industry doubt much done probably initiative raise awareness  ,-0.6705,Negative,United States of America
"Bringing up such a topic would weaken my bargaining position, so I wouldn't do so.","Bringing up such a topic would weaken my bargaining position, so I wouldn't do so. Mental health has an additional stigma associated with it, so it would likely mean I wouldn't get hired at all.",,,,,,,,,,bringing topic would weaken bargaining position wouldnt,bringing topic would weaken bargaining position wouldnt mental health additional stigma associated would likely mean wouldnt get hired,,,,,,,,,,bringing topic would weaken bargaining position wouldnt bringing topic would weaken bargaining position wouldnt mental health additional stigma associated would likely mean wouldnt get hired         ,-0.6808,Negative,United States of America
"In the end it would play a part on how I'm treated, so I'd be willing to disclose it from the get go.","Just as before, it would be a part of me, which affects how I work, so I'd rather disclose from the get go, instead of feeling anxiety of disclosing it when the issue is most pressing.",,,"They talked about how depressed they were feeling, mostly as a way to ""vent"" about it. I mostly listened, and tried to give some supporting words.",,,,"There could be far more awareness of what mental health disorders could impact colleagues, as well as better policing of discriminatory behaviour (including language). Training would be a plus as well.",,,end would play part im treated id willing disclose get go,would part affect work id rather disclose get go instead feeling anxiety disclosing issue pressing,,,talked depressed feeling mostly way vent mostly listened tried give supporting word,,,,could far awareness mental health disorder could impact colleague well better policing discriminatory behaviour including language training would plus well,,,end would play part im treated id willing disclose get go would part affect work id rather disclose get go instead feeling anxiety disclosing issue pressing   talked depressed feeling mostly way vent mostly listened tried give supporting word    could far awareness mental health disorder could impact colleague well better policing discriminatory behaviour including language training would plus well  ,0.6908,Positive,United States of America
,"
",,,,,,,,,,,,,,,,,,,,,          ,0,Neutral,United States of America
"Interview is for the job, about whether I can do the job... personal aspects can come up for discussion later, if hired.",Same as previous...,,,,,,,"Be very explicit about provided mental health benefits, and do so frequently.",,,interview job whether job personal aspect come discussion later hired,previous,,,,,,,explicit provided mental health benefit frequently,,,interview job whether job personal aspect come discussion later hired previous       explicit provided mental health benefit frequently  ,0.4588,Positive,United Kingdom
Wouldn't want to jeopardize my application ,Wouldn't want to jeopardize my application ,,,,,,,,,,wouldnt want jeopardize application,wouldnt want jeopardize application,,,,,,,,,,wouldnt want jeopardize application wouldnt want jeopardize application         ,-0.1139,Negative,Ghana
To alert if some preparations were needed,If could affect others,,,,,,,Talk and encourage to talk about it. Add or expose mental healthcare.,,,alert preparation needed,could affect others,,,,,,,talk encourage talk add expose mental healthcare,,,alert preparation needed could affect others       talk encourage talk add expose mental healthcare  ,0.5994,Positive,United States of America
"If I felt the issue would impact on my work I would be happy to share that information, otherwise i wouldn't feel any obligation to share",If the issue would have a significant impact on the way I were perceived or judged in the interview or the role then i would be happy to share. ,I discussed how caring for a partner with a mental illness my require flexibility in my schedule. This was well received and understood,Cosmetic smalltalk,,,,,Be considerably more careful about balancing good intentions with the accuracy and validity of the narrative and actions that are taken.,,The distinction between suffering a mental illness and being considerate of ones mental health is very important and increasingly misrepresented to the great determent of the care and understanding offered to those with a neurologically situated illness. Like many well meaning efforts in the arena of mental health this servery doesn't recognize that the support and care of others including partners and children can be an imposition to work and employment.,felt issue would impact work would happy share information otherwise wouldnt feel obligation share,issue would significant impact way perceived judged interview role would happy share,discussed caring partner mental illness require flexibility schedule well received understood,cosmetic smalltalk,,,,,considerably careful balancing good intention accuracy validity narrative action taken,,distinction suffering mental illness considerate one mental health important increasingly misrepresented great determent care understanding offered neurologically situated illness like many well meaning effort arena mental health servery doesnt recognize support care others including partner child imposition work employment,felt issue would impact work would happy share information otherwise wouldnt feel obligation share issue would significant impact way perceived judged interview role would happy share discussed caring partner mental illness require flexibility schedule well received understood cosmetic smalltalk     considerably careful balancing good intention accuracy validity narrative action taken  distinction suffering mental illness considerate one mental health important increasingly misrepresented great determent care understanding offered neurologically situated illness like many well meaning effort arena mental health servery doesnt recognize support care others including partner child imposition work employment,0.9847,Positive,United States of America
,fewer chances of getting the job,,"break-up related, got support from them",don't remember,,,don't remember,make it less taboo,,,,fewer chance getting job,,breakup related got support,dont remember,,,dont remember,make less taboo,,, fewer chance getting job  breakup related got support dont remember   dont remember make less taboo  ,0.5719,Positive,Norway
It would be acceptable,I believe I would not be selected,,,,,,,Taboo matter,Burned out people was hired and fired in less than a month,,would acceptable,believe would selected,,,,,,,taboo matter,burned people hired fired less month,,would acceptable believe would selected       taboo matter burned people hired fired less month ,-0.296,Negative,United States of America
Depends on relevance and impact on the future work.,Depends on relevance and impact on the future work.,,,,,,,Raise awareness about mental issue and treat mental issue as a physical issue. ,,,depends relevance impact future work,depends relevance impact future work,,,,,,,raise awareness mental issue treat mental issue physical issue,,,depends relevance impact future work depends relevance impact future work       raise awareness mental issue treat mental issue physical issue  ,0.4019,Positive,Portugal
Depends if it will impact my ability to perform the functions of the job,Discrimination,,,,,I disclosed that I have anxiety and that I needed space on a stressful day. I was immediately understood and supported and it was great!,"It's happened a few times...usually to discuss a specific event in their life, but occasionally to discuss a diagnosis or a mental health issue in a broader sense. ",Be more direct and open about supporting employees,,,depends impact ability perform function job,discrimination,,,,,disclosed anxiety needed space stressful day immediately understood supported great,happened timesusually discus specific event life occasionally discus diagnosis mental health issue broader sense,direct open supporting employee,,,depends impact ability perform function job discrimination     disclosed anxiety needed space stressful day immediately understood supported great happened timesusually discus specific event life occasionally discus diagnosis mental health issue broader sense direct open supporting employee  ,0.765,Positive,Portugal
"Physical disabilities are typically well-understood as being both a protected class of disability, as well as one for which the affected person is absolved of any personal blame. Put another way, no one blames a person for their physical disabilities (anymore); the same, unfortunately, is not true of mental disabilities.","See previous answer: depending on the type of mental illness (depression, for example), I would be worried about judgment or discrimination from my employer.",,,,,,,"Better training for management and co-workers. Vocal and explicit support for mental health issues, including examples of what positive support looks like; explicit and persistent advertising of mental-health support resources; industry-awards for companies that handle the issue well, or at least more obviously including issues of mental-health support as one of the ""rating"" criteria for ""best places to work"". ",,,physical disability typically wellunderstood protected class disability well one affected person absolved personal blame put another way one blame person physical disability anymore unfortunately true mental disability,see previous answer depending type mental illness depression example would worried judgment discrimination employer,,,,,,,better training management coworkers vocal explicit support mental health issue including example positive support look like explicit persistent advertising mentalhealth support resource industryawards company handle issue well least obviously including issue mentalhealth support one rating criterion best place work,,,physical disability typically wellunderstood protected class disability well one affected person absolved personal blame put another way one blame person physical disability anymore unfortunately true mental disability see previous answer depending type mental illness depression example would worried judgment discrimination employer       better training management coworkers vocal explicit support mental health issue including example positive support look like explicit persistent advertising mentalhealth support resource industryawards company handle issue well least obviously including issue mentalhealth support one rating criterion best place work  ,0.9584,Positive,Portugal
They could use it against me,They can use that to decide not to hire me,,,They were depressed due to having chronic health issues and felt that they could not keep going because of how much effort it took that person to get up each morning and go to the doctor,,,,I think they struggle first and foremost with diversity. They think of themselves as a monolith but there are so many different people wanting to get into the industry.,The manager was not empathetic and just told me to get over it and go back to work. Their priorities are not to treat me,,could use,use decide hire,,,depressed due chronic health issue felt could keep going much effort took person get morning go doctor,,,,think struggle first foremost diversity think monolith many different people wanting get industry,manager empathetic told get go back work priority treat,,could use use decide hire   depressed due chronic health issue felt could keep going much effort took person get morning go doctor    think struggle first foremost diversity think monolith many different people wanting get industry manager empathetic told get go back work priority treat ,-0.0516,Negative,Portugal
,People with ADHD are not seen as productive or profitable employees. ,,Discussed the affects of ADHD on my work habits and how to best support me. My team is supportive.,"General chats about anxiety and seasonal depression, things like that.",,,,,,,,people adhd seen productive profitable employee,,discussed affect adhd work habit best support team supportive,general chat anxiety seasonal depression thing like,,,,,,, people adhd seen productive profitable employee  discussed affect adhd work habit best support team supportive general chat anxiety seasonal depression thing like      ,0.8442,Positive,Portugal
,,,,,,,,Mental health first aid to be given equal standing to physical first aid.,,,,,,,,,,,mental health first aid given equal standing physical first aid,,,        mental health first aid given equal standing physical first aid  ,0,Neutral,Portugal
"I worry it would have a negative impact on my job prospects.

General personality questions are asked, but I get the sense that talking in depth about mental health would be considered oversharing.",Job prospects,,It was during a non-work event where liquor was involved - they were not surprised and had similar experiences,"Feeling overwhelmed, overworked, and under supported by the company. 

They described the effects on their personal and professional life, and had a strong desire to leave the org.",,,,"Talk about it more (this HAS gotten better), deal with people feeling stigmatized for talking about how they actually feel.

Stop focusing on utilization/productivity as the only metric of success. The goal shouldn't be to find out how much work you can dump on someone before they break.","I was told to deal with it, and that problems like this would come up at any job ""it's just life""",Nope!,worry would negative impact job prospect general personality question asked get sense talking depth mental health would considered oversharing,job prospect,,nonwork event liquor involved surprised similar experience,feeling overwhelmed overworked supported company described effect personal professional life strong desire leave org,,,,talk gotten better deal people feeling stigmatized talking actually feel stop focusing utilizationproductivity metric success goal shouldnt find much work dump someone break,told deal problem like would come job life,nope,worry would negative impact job prospect general personality question asked get sense talking depth mental health would considered oversharing job prospect  nonwork event liquor involved surprised similar experience feeling overwhelmed overworked supported company described effect personal professional life strong desire leave org    talk gotten better deal people feeling stigmatized talking actually feel stop focusing utilizationproductivity metric success goal shouldnt find much work dump someone break told deal problem like would come job life nope,0.8625,Positive,Portugal
Liability ,Hurt interview,,,,,,,Help me,,I’m so sad.,liability,hurt interview,,,,,,,help,,im sad,liability hurt interview       help  im sad,-0.6808,Negative,Portugal
I would try to avoid it unless absolutely necessary.,I would try to avoid it unless absolutely necessary.,,,,I was able to easily arrange a four-day work week with my supervisor to work on improving my mental and physical health.,,,"Better support for flexible working arrangements (e.g., remote work, alternative working hours).",,,would try avoid unless absolutely necessary,would try avoid unless absolutely necessary,,,,able easily arrange fourday work week supervisor work improving mental physical health,,,better support flexible working arrangement eg remote work alternative working hour,,,would try avoid unless absolutely necessary would try avoid unless absolutely necessary    able easily arrange fourday work week supervisor work improving mental physical health   better support flexible working arrangement eg remote work alternative working hour  ,0.8207,Positive,Portugal
I would worry it would prejudice them against me.,I would worry it would prejudice them against me.,,"The context was a meeting between several coworkers, including one who was suffering greatly from anxiety, which was impeding her work. I explained that I could understand what she was going through because of my own experiences with anxiety and depression. My coworkers were all very understanding and it didn’t seem to change their behaviour with me.","As I said above, I have a coworker who is having real difficulty coping with anxiety and their work. I have had brief conversations with several other coworkers about this person’s situation, as they are currently getting inpatient treatment for it and I’m the person on the team who knows them best. People are all very sensitive and worried about them. One coworker told me that although he worries about them, he can’t really understand what their troubles are and what they feel like, because he’s never had that experience himself. I considered trying to explain but didn’t think I would be able to.","It went horribly. I was a PhD student and disclosed to my supervisors that I was suffering from depression and anxiety but was seeing a therapist and taking steps to feel better. (This was partly related to the poor progress of my project, and their supervision style.) They said they understood but treated me with a very kid-gloves approach for a few weeks, then demanded to ask mu therapist questions about me. Eventually I agreed to let them send their questions to an HR person, who would act as an intermediary between them and the therapist. They wanted to know if I was a danger to myself or others. The therapist replied that I was not. My supervisors then told me that the therapist’s answer showed that my illness was no excuse for the poor state of my project. They put me on a ten-week ‘improvement plan’ that was logically impossible to succeed at, and then pushed me out of the PhD studentship.",,,Take it as seriously as physical health support.,Please see my answer above to the question about talking to a previous employer about a mental health disorder.,,would worry would prejudice,would worry would prejudice,,context meeting several coworkers including one suffering greatly anxiety impeding work explained could understand going experience anxiety depression coworkers understanding didnt seem change behaviour,said coworker real difficulty coping anxiety work brief conversation several coworkers person situation currently getting inpatient treatment im person team know best people sensitive worried one coworker told although worry cant really understand trouble feel like he never experience considered trying explain didnt think would able,went horribly phd student disclosed supervisor suffering depression anxiety seeing therapist taking step feel better partly related poor progress project supervision style said understood treated kidgloves approach week demanded ask mu therapist question eventually agreed let send question hr person would act intermediary therapist wanted know danger others therapist replied supervisor told therapist answer showed illness excuse poor state project put tenweek improvement plan logically impossible succeed pushed phd studentship,,,take seriously physical health support,please see answer question talking previous employer mental health disorder,,would worry would prejudice would worry would prejudice  context meeting several coworkers including one suffering greatly anxiety impeding work explained could understand going experience anxiety depression coworkers understanding didnt seem change behaviour said coworker real difficulty coping anxiety work brief conversation several coworkers person situation currently getting inpatient treatment im person team know best people sensitive worried one coworker told although worry cant really understand trouble feel like he never experience considered trying explain didnt think would able went horribly phd student disclosed supervisor suffering depression anxiety seeing therapist taking step feel better partly related poor progress project supervision style said understood treated kidgloves approach week demanded ask mu therapist question eventually agreed let send question hr person would act intermediary therapist wanted know danger others therapist replied supervisor told therapist answer showed illness excuse poor state project put tenweek improvement plan logically impossible succeed pushed phd studentship   take seriously physical health support please see answer question talking previous employer mental health disorder ,-0.9845,Negative,Portugal
,,,,,,,,More remote work. More part-time work,People in a leave for mh issues laughed about,,,,,,,,,,remote work parttime work,people leave mh issue laughed,,        remote work parttime work people leave mh issue laughed ,0.4215,Positive,United States of America
loss of potential job,loss of potential job,,,,Discussed substance abuse relapse and was able to set up treatment,,,,,,loss potential job,loss potential job,,,,discussed substance abuse relapse able set treatment,,,,,,loss potential job loss potential job    discussed substance abuse relapse able set treatment     ,-0.8316,Negative,United States of America
"I wouldn't want to do so until I was offered the job. Unfortunately, I can't hide my hearing issue anymore. ",I wouldn't bring it up until I was offered the job and more likely not until after i was hired.,The first set of people were fine and things were good for years. Switch to a new Management team and they didn't want to hear anything about it and said I had a victim mentality and fired me 2 days shy of 9 years of employment. ,The long term co workers could tell when things weren't good. The new ones that knew didn't care or try to understand. ,I had others who reached out to me for advice and help and i helped them. ,They knew I was having issues and when I started taking medication. When they became a larger company no one cared anymore and let me go.,,"Again, asked advice and I gave it.",Get rid of open offices. Agile and more so scrum isn't conducive to any mental health issues and some other forms of disability. ,,"
",wouldnt want offered job unfortunately cant hide hearing issue anymore,wouldnt bring offered job likely hired,first set people fine thing good year switch new management team didnt want hear anything said victim mentality fired day shy year employment,long term co worker could tell thing werent good new one knew didnt care try understand,others reached advice help helped,knew issue started taking medication became larger company one cared anymore let go,,asked advice gave,get rid open office agile scrum isnt conducive mental health issue form disability,,,wouldnt want offered job unfortunately cant hide hearing issue anymore wouldnt bring offered job likely hired first set people fine thing good year switch new management team didnt want hear anything said victim mentality fired day shy year employment long term co worker could tell thing werent good new one knew didnt care try understand others reached advice help helped knew issue started taking medication became larger company one cared anymore let go  asked advice gave get rid open office agile scrum isnt conducive mental health issue form disability  ,0.2134,Positive,Portugal
"To an extent, I'll talk about exercise and fitness and wellbeing, but if you are going to ask me questions about my diagnosis of anything or things of that nature, that is off limits. That's not something you need to know in an interview.","Similar vein, I will talk about some good aspects of how I think and how I work in my thinking. But I am not going to inform you if I have a mental health disorder in an interview, it's not needed.",,"I believe it was more day to day talk, how we are doing and what not. I try to be honest in those situations if it's kind of a crap day, I say why I'm not feeling the best and what is happening. Everyone here cares for one another so it's rather easy to be open.","Same thing, day to day conversation.",,Day to day.,Day to day.,"Preventative care measures, similar to a yearly physical, but a yearly mental checkup. Hour-long session to talk with someone and see if they can spot anything that could be an issue to them.",,,extent ill talk exercise fitness wellbeing going ask question diagnosis anything thing nature limit thats something need know interview,similar vein talk good aspect think work thinking going inform mental health disorder interview needed,,believe day day talk try honest situation kind crap day say im feeling best happening everyone care one another rather easy open,thing day day conversation,,day day,day day,preventative care measure similar yearly physical yearly mental checkup hourlong session talk someone see spot anything could issue,,,extent ill talk exercise fitness wellbeing going ask question diagnosis anything thing nature limit thats something need know interview similar vein talk good aspect think work thinking going inform mental health disorder interview needed  believe day day talk try honest situation kind crap day say im feeling best happening everyone care one another rather easy open thing day day conversation  day day day day preventative care measure similar yearly physical yearly mental checkup hourlong session talk someone see spot anything could issue  ,0.9559,Positive,Portugal
To avoid future difficulties,Fear of discrimination,,,,,,,,,,avoid future difficulty,fear discrimination,,,,,,,,,,avoid future difficulty fear discrimination         ,-0.7783,Negative,United Kingdom
,Stigma,,,,,,"Anxiety, Depression, Impostor Syndrome","Identify common mental health issues related to work, known causes and how to avoid them",,,,stigma,,,,,,anxiety depression impostor syndrome,identify common mental health issue related work known cause avoid,,, stigma      anxiety depression impostor syndrome identify common mental health issue related work known cause avoid  ,-0.765,Negative,Portugal
,I wouldn't want to work somewhere in which bringing it up/speaking about it would be an issue.,,,,,,,,,,,wouldnt want work somewhere bringing upspeaking would issue,,,,,,,,,, wouldnt want work somewhere bringing upspeaking would issue         ,-0.0572,Negative,Portugal
Depends on the Condition and the employer,To much of a Stigma,,"Informed them of my ADHD, General Anxiety and Depression issues",,,,,,Person committed suicide,,depends condition employer,much stigma,,informed adhd general anxiety depression issue,,,,,,person committed suicide,,depends condition employer much stigma  informed adhd general anxiety depression issue      person committed suicide ,-0.8316,Negative,Portugal
"I would bring up things that directly impact my work and work environment (things like stairs vs elevator, lighting, etc) but I view all other physical health issues as my personal business and unrelated to my work.","I manage my anxiety with medication and it very rarely impacts my work. I prefer to discuss it if it comes up as necessary, rather than warn potential employers about something they may never see.",,"Discussed anxiety and the flare-ups of it based on my relocation for this job.  Coworkers were understanding, related their own mental health/substance abuse recovery/related issues and offered suggestions on how to begin the process of finding a new therapist after relocation.","Coworker began by sharing about a local organization they serve on the board of, dedicated to helping recovering opioid users, then shared their own history of substance abuse and ongoing recovery.  Another coworker shared their experience with panic attacks related to high-stakes work deliverables and how they manage it.",I expressed concerns about my anxiety/panic attacks and how they were impacting my work.  My employer assured me that my work was meeting expectations and encouraged me to adjust my work schedule or routine as needed to ensure I was able to complete my work while also maintaining my mental health.,"I shared my ongoing anxiety problems and the impact it was having on my work (and how I felt about the work I was producing).  I received mixed responses: some coworkers told me to try yoga or essential oils or go vegan, but many responded by sharing that they had similar feelings and worried that they were alone in feeling that way.","My coworker shared that they had become increasingly isolated and withdrawn after relocating and starting the position, because they felt that they didn't ""gel"" with the rest of the cohort and they were afraid to share those feelings in case it was perceived as weakness/lack of commitment.","A lot of the emphasis on being a ""coding ninja"" or ""unicorn"" places pressure on people to always be productive, always be having good days. On top of impostor syndrome it also means there's a lot of pressure that contributes to anxiety and similar issues.",,,would bring thing directly impact work work environment thing like stair v elevator lighting etc view physical health issue personal business unrelated work,manage anxiety medication rarely impact work prefer discus come necessary rather warn potential employer something may never see,,discussed anxiety flareups based relocation job coworkers understanding related mental healthsubstance abuse recoveryrelated issue offered suggestion begin process finding new therapist relocation,coworker began sharing local organization serve board dedicated helping recovering opioid user shared history substance abuse ongoing recovery another coworker shared experience panic attack related highstakes work deliverable manage,expressed concern anxietypanic attack impacting work employer assured work meeting expectation encouraged adjust work schedule routine needed ensure able complete work also maintaining mental health,shared ongoing anxiety problem impact work felt work producing received mixed response coworkers told try yoga essential oil go vegan many responded sharing similar feeling worried alone feeling way,coworker shared become increasingly isolated withdrawn relocating starting position felt didnt gel rest cohort afraid share feeling case perceived weaknesslack commitment,lot emphasis coding ninja unicorn place pressure people always productive always good day top impostor syndrome also mean there lot pressure contributes anxiety similar issue,,,would bring thing directly impact work work environment thing like stair v elevator lighting etc view physical health issue personal business unrelated work manage anxiety medication rarely impact work prefer discus come necessary rather warn potential employer something may never see  discussed anxiety flareups based relocation job coworkers understanding related mental healthsubstance abuse recoveryrelated issue offered suggestion begin process finding new therapist relocation coworker began sharing local organization serve board dedicated helping recovering opioid user shared history substance abuse ongoing recovery another coworker shared experience panic attack related highstakes work deliverable manage expressed concern anxietypanic attack impacting work employer assured work meeting expectation encouraged adjust work schedule routine needed ensure able complete work also maintaining mental health shared ongoing anxiety problem impact work felt work producing received mixed response coworkers told try yoga essential oil go vegan many responded sharing similar feeling worried alone feeling way coworker shared become increasingly isolated withdrawn relocating starting position felt didnt gel rest cohort afraid share feeling case perceived weaknesslack commitment lot emphasis coding ninja unicorn place pressure people always productive always good day top impostor syndrome also mean there lot pressure contributes anxiety similar issue  ,0.4215,Positive,United States of America
,,,,,,,,"More awareness, more training. Mental Health First Aid for all managers.",,,,,,,,,,,awareness training mental health first aid manager,,,        awareness training mental health first aid manager  ,0,Neutral,United Kingdom
,,,,,,,,I think as a whole America does a poor job of being supportive of mental health issues,,,,,,,,,,,think whole america poor job supportive mental health issue,,,        think whole america poor job supportive mental health issue  ,-0.2263,Negative,United States of America
Only if I thought it would pertain to getting my work done.,I would be worried about losing the job.,,,,,,,More training for managers on how to identify and help.,,,thought would pertain getting work done,would worried losing job,,,,,,,training manager identify help,,,thought would pertain getting work done would worried losing job       training manager identify help  ,-0.2732,Negative,United States of America
It could impact how well I can access the office or do my work,"If they asked I’d probably tell them, but if I don’t like to bring up my mental health unless it’s clearly causing a problem",,"Just talked about the types of medicine we take for anxiety, we didn’t get too deep into it",,,,,"Ease back in the crunch time for developers, structure the work so employees have time to breathe and communicate calmly",,Thank you!,could impact well access office work,asked id probably tell dont like bring mental health unless clearly causing problem,,talked type medicine take anxiety didnt get deep,,,,,ease back crunch time developer structure work employee time breathe communicate calmly,,thank,could impact well access office work asked id probably tell dont like bring mental health unless clearly causing problem  talked type medicine take anxiety didnt get deep     ease back crunch time developer structure work employee time breathe communicate calmly  thank,0.2453,Positive,United States of America
I would be concerned that would be a check mark in the 'do not hire' column.,Not a good first impression. ,,,,,,,,,,would concerned would check mark hire column,good first impression,,,,,,,,,,would concerned would check mark hire column good first impression         ,0.5859,Positive,United Kingdom
If it wasn't relevant to my ability to do the job I may not mention it.,Might not be worth the risk if I felt I could perform the job.,,,,,,,Making employees comfortable bringing forward issues and that it won't put their job at risk to seek help.,,I rated the overall industry at 3 stars but I really have no defense for anything I would answer on that question. I have no idea how to extrapolate what I know to an entire industry.,wasnt relevant ability job may mention,might worth risk felt could perform job,,,,,,,making employee comfortable bringing forward issue wont put job risk seek help,,rated overall industry star really defense anything would answer question idea extrapolate know entire industry,wasnt relevant ability job may mention might worth risk felt could perform job       making employee comfortable bringing forward issue wont put job risk seek help  rated overall industry star really defense anything would answer question idea extrapolate know entire industry,0.547,Positive,United States of America
Not sure how it would be relevant. ,Wouldn’t want to disqualify myself from the position for something I can typically keep under control.,,,,,,,Awareness,,,sure would relevant,wouldnt want disqualify position something typically keep control,,,,,,,awareness,,,sure would relevant wouldnt want disqualify position something typically keep control       awareness  ,0.2681,Positive,Canada
,,"Have discussed mental health issues in a ""this is going on"" context.",,,,,,I think mental health coverage is usually provided by physical healthcare insurance providers who make it challenging to seek out and receive treatment.,,,,,discussed mental health issue going context,,,,,,think mental health coverage usually provided physical healthcare insurance provider make challenging seek receive treatment,,,  discussed mental health issue going context      think mental health coverage usually provided physical healthcare insurance provider make challenging seek receive treatment  ,0.1531,Positive,United States of America
They will find ways to not hire you,They will not hire you,,,,,,,collective bargaining,,,find way hire,hire,,,,,,,collective bargaining,,,find way hire hire       collective bargaining  ,0,Neutral,United States of America
"It makes a bad impression, consciously or not.",Same as phys: unconscious bias (if not conscious bias),,,,Told manager I suspected depression. Followed up once and I had not scheduled an appointment with a professional. Never followed up again.,,,Explicitly state the steps to seek help. Therapist? General practitioner? Psychiatrist? ERP? There is no clarity about where to start,"Manager didn't care or thought it was an excuse, and only followed up once",,make bad impression consciously,phys unconscious bias conscious bias,,,,told manager suspected depression followed scheduled appointment professional never followed,,,explicitly state step seek help therapist general practitioner psychiatrist erp clarity start,manager didnt care thought excuse followed,,make bad impression consciously phys unconscious bias conscious bias    told manager suspected depression followed scheduled appointment professional never followed   explicitly state step seek help therapist general practitioner psychiatrist erp clarity start manager didnt care thought excuse followed ,-0.7543,Negative,Switzerland
I know my rights if they don't hire me.,I'm not sure.,They didn't seem to want to discuss and offered mental health days off.,Discussed stress from projects and changes. Wondered and discussed why leaders within the org weren't addressing.,Approached me about how stressed out and exhausted they were about a project.,"Brought up that I was seeing a therapist, they immediately took projects away from me, even though I felt ok and was performing high.",Stress-related discussions about deadlines and projects and how leadership doesn't seem to be aware of our mental wellbeing.,,Talk about it more.,"Director of HR compared me to a ""tower shooter"" because of an assessment result I tested into.",,know right dont hire,im sure,didnt seem want discus offered mental health day,discussed stress project change wondered discussed leader within org werent addressing,approached stressed exhausted project,brought seeing therapist immediately took project away even though felt ok performing high,stressrelated discussion deadline project leadership doesnt seem aware mental wellbeing,,talk,director hr compared tower shooter assessment result tested,,know right dont hire im sure didnt seem want discus offered mental health day discussed stress project change wondered discussed leader within org werent addressing approached stressed exhausted project brought seeing therapist immediately took project away even though felt ok performing high stressrelated discussion deadline project leadership doesnt seem aware mental wellbeing  talk director hr compared tower shooter assessment result tested ,-0.502,Negative,United Kingdom
I wouldn't want them to even think of it in their decision making,"I make data visualizations with my mental health data, so it would likely come up in that context. ","I make data visualizations with my mood data, and my supervisor and I talked about it. He also has mental health issues",I tell people that I go to therapy and have group,"A cowoker was taking a leave, so I talked with another person about it",,,,"I don't think people are always taken seriously when they talk about mental health issues unless they are actively in crisis (suicidal, self-harm, etc)",,I am also queer,wouldnt want even think decision making,make data visualization mental health data would likely come context,make data visualization mood data supervisor talked also mental health issue,tell people go therapy group,cowoker taking leave talked another person,,,,dont think people always taken seriously talk mental health issue unless actively crisis suicidal selfharm etc,,also queer,wouldnt want even think decision making make data visualization mental health data would likely come context make data visualization mood data supervisor talked also mental health issue tell people go therapy group cowoker taking leave talked another person    dont think people always taken seriously talk mental health issue unless actively crisis suicidal selfharm etc  also queer,-0.8563,Negative,Switzerland
Its the norm.,Fear I wouldn't get hired.,,I told them I'd rather not check my email at all hours of the day for fear of my mental health.,,,,,,,,norm,fear wouldnt get hired,,told id rather check email hour day fear mental health,,,,,,,,norm fear wouldnt get hired  told id rather check email hour day fear mental health       ,-0.7506,Negative,United States of America
