Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,What country do you *work* in?
in an interview it wouldn't be relevant.,I don't feel it would be relevant,"I have anxiety. I have taken days off because I needed a ""mental health day"" and I have been clear about that to my manager.",we have discussed anxiety and speaking with therapists to get help.,Anxiety and seeking counseling for help,,,,Talk about it more. I think that's the biggest thing we can do to normalize it.,,,interview wouldnt relevant,dont feel would relevant,anxiety taken day needed mental health day clear manager,discussed anxiety speaking therapist get help,anxiety seeking counseling help,,,,talk think thats biggest thing normalize,,,interview wouldnt relevant dont feel would relevant anxiety taken day needed mental health day clear manager discussed anxiety speaking therapist get help anxiety seeking counseling help    talk think thats biggest thing normalize  ,0.5994,Positive,India
only if it's relevant,only if it's relevant,,,,,,,,,,relevant,relevant,,,,,,,,,,relevant relevant         ,0,Neutral,United States of America
"I would as I believe an employer has a right to know, this puts one in an odd situation, I would rather discuss the issues and not get the job than overlook it and be thrust into an unhealthy environment.","Similar to previous answer, I would discuss it along with my treatments and recovery programme, again I would rather opt for transparency than land up in rehab again.","I was in rehab for Major Depressive Disorder and suicide attempts, upon going back to work I disclosed my condition to my HR head. Later it was denied that the disclosure happened and they tried to remove me for lack cognitive ability to do my job, they then agreed to send me for the correct testing and two days later I was let go. HR also discussed intimate details with Employees, Directors and anyone who'd listen.","Many of my co-workers are depressed, not all the time but most of the time, I've helped a couple through basic conversation but it's usually when they are stuck they come to me.","Feelings of constant darkness, lethargic no will to get up in the morning, no reason outside of a pay check to be there (very tough job market in South Africa), feelings of under achievement and the fear of never accomplishing anything.","Very depressed, was booked off for 1 week, recharged batteries and continued doing my work","Experiences with depression and therapy, how both affected my work, life and relationships",,"South Africa is a strange place where mental health problems are a weakness in personality or strength, I think by listening, observing and where needs be offering counselling / training or even a day off just to try and regain some stability.","Denying mental health disclosures to open a Incapacity Investigation, which led to retrenchment / severance when offered a chance to take the necessary tests.","In my experience at my current / previous employer, they knew I was mentally ill and know that if they told me ""try harder"", ""you can do better"", ""we expect more"" that I would work through nights, weekends and all of my free time to try and rectify my problems and up skill.",would believe employer right know put one odd situation would rather discus issue get job overlook thrust unhealthy environment,similar previous answer would discus along treatment recovery programme would rather opt transparency land rehab,rehab major depressive disorder suicide attempt upon going back work disclosed condition hr head later denied disclosure happened tried remove lack cognitive ability job agreed send correct testing two day later let go hr also discussed intimate detail employee director anyone whod listen,many coworkers depressed time time ive helped couple basic conversation usually stuck come,feeling constant darkness lethargic get morning reason outside pay check tough job market south africa feeling achievement fear never accomplishing anything,depressed booked week recharged battery continued work,experience depression therapy affected work life relationship,,south africa strange place mental health problem weakness personality strength think listening observing need offering counselling training even day try regain stability,denying mental health disclosure open incapacity investigation led retrenchment severance offered chance take necessary test,experience current previous employer knew mentally ill know told try harder better expect would work night weekend free time try rectify problem skill,would believe employer right know put one odd situation would rather discus issue get job overlook thrust unhealthy environment similar previous answer would discus along treatment recovery programme would rather opt transparency land rehab rehab major depressive disorder suicide attempt upon going back work disclosed condition hr head later denied disclosure happened tried remove lack cognitive ability job agreed send correct testing two day later let go hr also discussed intimate detail employee director anyone whod listen many coworkers depressed time time ive helped couple basic conversation usually stuck come feeling constant darkness lethargic get morning reason outside pay check tough job market south africa feeling achievement fear never accomplishing anything depressed booked week recharged battery continued work experience depression therapy affected work life relationship  south africa strange place mental health problem weakness personality strength think listening observing need offering counselling training even day try regain stability denying mental health disclosure open incapacity investigation led retrenchment severance offered chance take necessary test experience current previous employer knew mentally ill know told try harder better expect would work night weekend free time try rectify problem skill,-0.9893,Negative,Australia
Don't feel it's important to being qualified for a job,Don't feel it's important to being qualified for a job,"Described issue, supervisor was supportive and anything I needed in terms of time off suggested",,,,,,"Realize breaks are needed, break-neck pace not always needed, break trend/perception of IT people as socially inverted to encourage social interaction.",,,dont feel important qualified job,dont feel important qualified job,described issue supervisor supportive anything needed term time suggested,,,,,,realize break needed breakneck pace always needed break trendperception people socially inverted encourage social interaction,,,dont feel important qualified job dont feel important qualified job described issue supervisor supportive anything needed term time suggested      realize break needed breakneck pace always needed break trendperception people socially inverted encourage social interaction  ,0.5132,Positive,Germany
Physical health issues can be harder to hide and are generally more understood. There are also long-standing protections for employees with physical health issues.,"I would be very hesitant. Many people do not understand mental health and might assume it means I would be unpredictable. It is also very taxing to have to explain and focus on my mental health issues, especially in a new environment where I may not feel safe and supported.","My manager met with me privately to check in because he was getting a vibe like something might be wrong.

He is also a friend outside of work so I felt comfortable telling him that I sometimes have a few days or even a week where it can be difficult to get through the day due to depression and anxiety.

He said to let him know if there is ever anything he can do to help, whether that means scheduling regular mental health days, taking longer or more frequent breaks, or even just talking. He also made it clear that there would be no questions asked nor judgement passed were I to do any of those things.

It was the first time I had ever discussed my mental health with an employer. Yes, he is also a friend, but in that moment he was my manager and he was doing an amazing job.","I have become increasingly emboldened to discuss my mental health due to the positive and supportive culture in my company. It is difficult.

I used to make regular excuses for not attending social events or for bailing on plans, but at some point I decided to disclose to a couple of close work friends that usually I am just feeling depressed and need to recharge.

They responded with genuine concern and understanding without bombarding me with questions. They really helped normalize the whole experience.

I've since opened up to even more of my coworkers and each time it becomes a little easier and feels a little lighter.",,,,,"Explicitly state that mental health issues present as valid a reason for taking a sick day as physical health issues.

Just talk about it in a way that recognizes the issue without forcing people to disclose their own struggles.

Make a clear statement in the companies mission statement, employee handbook, etc. that mental health is taken seriously and is a priority.","I've observed coworkers making negative comments about another coworker due to his sometimes erratic mood, which I know to be due to his mental health issues.",,physical health issue harder hide generally understood also longstanding protection employee physical health issue,would hesitant many people understand mental health might assume mean would unpredictable also taxing explain focus mental health issue especially new environment may feel safe supported,manager met privately check getting vibe like something might wrong also friend outside work felt comfortable telling sometimes day even week difficult get day due depression anxiety said let know ever anything help whether mean scheduling regular mental health day taking longer frequent break even talking also made clear would question asked judgement passed thing first time ever discussed mental health employer yes also friend moment manager amazing job,become increasingly emboldened discus mental health due positive supportive culture company difficult used make regular excuse attending social event bailing plan point decided disclose couple close work friend usually feeling depressed need recharge responded genuine concern understanding without bombarding question really helped normalize whole experience ive since opened even coworkers time becomes little easier feel little lighter,,,,,explicitly state mental health issue present valid reason taking sick day physical health issue talk way recognizes issue without forcing people disclose struggle make clear statement company mission statement employee handbook etc mental health taken seriously priority,ive observed coworkers making negative comment another coworker due sometimes erratic mood know due mental health issue,,physical health issue harder hide generally understood also longstanding protection employee physical health issue would hesitant many people understand mental health might assume mean would unpredictable also taxing explain focus mental health issue especially new environment may feel safe supported manager met privately check getting vibe like something might wrong also friend outside work felt comfortable telling sometimes day even week difficult get day due depression anxiety said let know ever anything help whether mean scheduling regular mental health day taking longer frequent break even talking also made clear would question asked judgement passed thing first time ever discussed mental health employer yes also friend moment manager amazing job become increasingly emboldened discus mental health due positive supportive culture company difficult used make regular excuse attending social event bailing plan point decided disclose couple close work friend usually feeling depressed need recharge responded genuine concern understanding without bombarding question really helped normalize whole experience ive since opened even coworkers time becomes little easier feel little lighter     explicitly state mental health issue present valid reason taking sick day physical health issue talk way recognizes issue without forcing people disclose struggle make clear statement company mission statement employee handbook etc mental health taken seriously priority ive observed coworkers making negative comment another coworker due sometimes erratic mood know due mental health issue ,0.9275,Positive,Brazil
Feels private,Stigma,,,General conversation about therapy,,,,Cut down on stress,,,feel private,stigma,,,general conversation therapy,,,,cut stress,,,feel private stigma   general conversation therapy    cut stress  ,-0.5994,Negative,United States of America
Because it may be a negative point as a candidature,it will be a negative point as a candidature,,,,,Sometime i discuss personal prob with my coworkers. not everyone but with few specific coworkers who are close to me and they understnd the feelings.,"few coworkers who feels me close, shared personal prob.",Can't say anything at this moment on this issue,,No,may negative point candidature,negative point candidature,,,,,sometime discus personal prob coworkers everyone specific coworkers close understnd feeling,coworkers feel close shared personal prob,cant say anything moment issue,,,may negative point candidature negative point candidature     sometime discus personal prob coworkers everyone specific coworkers close understnd feeling coworkers feel close shared personal prob cant say anything moment issue  ,-0.6705,Negative,Netherlands
I would believe that could cause unwelcomed bias in the hiring decision.,I wouldnt bring it up or even a history of it up as it may cause the potential employer to infer that my judgment actions under pressure may not be sound. Resulting in a missed job opportunity.,,,,,"The conversation took place after leaving the company. When discussing the cause for the abrupt resignation he was shocked at some of the thoughts and issues I was dealing with, but nothing changed, in fact things got worse after I left.",,"The industry tends to run extremely tight on staff for any company, I think increasing the IT staff at most companies will help alleviate pressure.",,,would believe could cause unwelcomed bias hiring decision,wouldnt bring even history may cause potential employer infer judgment action pressure may sound resulting missed job opportunity,,,,,conversation took place leaving company discussing cause abrupt resignation shocked thought issue dealing nothing changed fact thing got worse left,,industry tends run extremely tight staff company think increasing staff company help alleviate pressure,,,would believe could cause unwelcomed bias hiring decision wouldnt bring even history may cause potential employer infer judgment action pressure may sound resulting missed job opportunity     conversation took place leaving company discussing cause abrupt resignation shocked thought issue dealing nothing changed fact thing got worse left  industry tends run extremely tight staff company think increasing staff company help alleviate pressure  ,-0.7964,Negative,United States of America
It's not their business.,"It's not their business, plus stigma surrounding mental health.",,,,,,,"Raise awareness, offer proactive support, reduce stigmas surrounding mental health.",,,business,business plus stigma surrounding mental health,,,,,,,raise awareness offer proactive support reduce stigma surrounding mental health,,,business business plus stigma surrounding mental health       raise awareness offer proactive support reduce stigma surrounding mental health  ,0.6705,Positive,Portugal
I am trying to get the job - health issues could bias interviewer even unintentionally.,Stigma of mental health disorders.  Privacy concern,Discussed anxiety and unjustified feelings my job was at risk.  Employer did not offer any meaningful response,I have been open with a couple coworkers aboutr my mental illness.  They reacted positivly as they are dealing with their own issues.,"Coworker told me they were dealing with depression and anxiety, and worried everything was going to go wrong.",,,,"Tech is about turn and burn.  Employees are run into the ground.  If they burn out, the company just hires the next batch of college grads (they know the latest tech anyway right?).  We need mental health awareness at work, we need leaders that will speak about their issues, and we need policy and culture that actively encourages employees to protect their mental health.",,"If my employer had to make accommodations due to my mental health, I would be concerned that I am now a target of HR / MGMT.  I would be the ""special"" one that needs ""accommodation"" - aka a hassle.  If I was given encouragement, empathetic coaching, and another simple item then my productivity would likely skyrocket.",trying get job health issue could bias interviewer even unintentionally,stigma mental health disorder privacy concern,discussed anxiety unjustified feeling job risk employer offer meaningful response,open couple coworkers aboutr mental illness reacted positivly dealing issue,coworker told dealing depression anxiety worried everything going go wrong,,,,tech turn burn employee run ground burn company hire next batch college grad know latest tech anyway right need mental health awareness work need leader speak issue need policy culture actively encourages employee protect mental health,,employer make accommodation due mental health would concerned target hr mgmt would special one need accommodation aka hassle given encouragement empathetic coaching another simple item productivity would likely skyrocket,trying get job health issue could bias interviewer even unintentionally stigma mental health disorder privacy concern discussed anxiety unjustified feeling job risk employer offer meaningful response open couple coworkers aboutr mental illness reacted positivly dealing issue coworker told dealing depression anxiety worried everything going go wrong    tech turn burn employee run ground burn company hire next batch college grad know latest tech anyway right need mental health awareness work need leader speak issue need policy culture actively encourages employee protect mental health  employer make accommodation due mental health would concerned target hr mgmt would special one need accommodation aka hassle given encouragement empathetic coaching another simple item productivity would likely skyrocket,-0.128,Negative,United States of America
"Depends on the issue. If it intereferes with my ability to work then I have to talk about it. If not... better not to talk about it depending on the company. The ""healtier"" candidates will get priority.","Depends on the issue. If it intereferes with my ability to work then I have to talk about it. If not... better not to talk about it depending on the company. The ""healtier"" candidates will get priority.",,Dont remember the name of the issue anymore.. It was some years ago...,Years ago... dont remember anymore..,,,,Less preconception. Most common issues can be treated or dont frequently interfere with the work in the industry.,Preconception.,,depends issue intereferes ability work talk better talk depending company healtier candidate get priority,depends issue intereferes ability work talk better talk depending company healtier candidate get priority,,dont remember name issue anymore year ago,year ago dont remember anymore,,,,less preconception common issue treated dont frequently interfere work industry,preconception,,depends issue intereferes ability work talk better talk depending company healtier candidate get priority depends issue intereferes ability work talk better talk depending company healtier candidate get priority  dont remember name issue anymore year ago year ago dont remember anymore    less preconception common issue treated dont frequently interfere work industry preconception ,0.8555,Positive,Netherlands
Lost the job,Lost the job,,,,,,,Realizing that spending a lot of hours in front of a computer per example is not funny or comfortable,,,lost job,lost job,,,,,,,realizing spending lot hour front computer per example funny comfortable,,,lost job lost job       realizing spending lot hour front computer per example funny comfortable  ,0.3818,Positive,United States of America
"Because physical health issues are visible and require sometimes accomodation. 
also because recruitment processes are black boxes. They could tell me that it is ok during the interview but delete my candidature after",I would only bring up my mental health issue during an interview if the company invites me to or if I know that I could not hide it during the daily activity,,silences,,,Sharing my depression experience. Their reactions were mainly to listen and to tell me that they are present,sharing their experience of anxiety and depressions,"The industry supports people with mental health issues if it is temporal issue and there is hope for a complete recovery. Otherwise, the person is considered burned and reduce to basic non critical operations.",,"Even if I have my issues, I am considered a high achiever. That is why I had a lot of flexibility to accommodate my location and working hours, for many years. 
That flexibility allowed me to be productive in an asynchronous way for my employers and colleagues. I can take a nap or a walk when my brain tells me to, without giving explications or excuses, just focusing on productivity and health. 

The covid crisis brought us millions of people with mental issues that will not be treated as required.  However, the increase of workers that could also work from home in asynchronous ways creates space for solutions that could compensate.

I think that it is important to speak openly on those issues; to educate people on first aid solutions. People should be able to take care of little scratches and to recognize situations where professional aid is required.",physical health issue visible require sometimes accomodation also recruitment process black box could tell ok interview delete candidature,would bring mental health issue interview company invite know could hide daily activity,,silence,,,sharing depression experience reaction mainly listen tell present,sharing experience anxiety depression,industry support people mental health issue temporal issue hope complete recovery otherwise person considered burned reduce basic non critical operation,,even issue considered high achiever lot flexibility accommodate location working hour many year flexibility allowed productive asynchronous way employer colleague take nap walk brain tell without giving explication excuse focusing productivity health covid crisis brought u million people mental issue treated required however increase worker could also work home asynchronous way creates space solution could compensate think important speak openly issue educate people first aid solution people able take care little scratch recognize situation professional aid required,physical health issue visible require sometimes accomodation also recruitment process black box could tell ok interview delete candidature would bring mental health issue interview company invite know could hide daily activity  silence   sharing depression experience reaction mainly listen tell present sharing experience anxiety depression industry support people mental health issue temporal issue hope complete recovery otherwise person considered burned reduce basic non critical operation  even issue considered high achiever lot flexibility accommodate location working hour many year flexibility allowed productive asynchronous way employer colleague take nap walk brain tell without giving explication excuse focusing productivity health covid crisis brought u million people mental issue treated required however increase worker could also work home asynchronous way creates space solution could compensate think important speak openly issue educate people first aid solution people able take care little scratch recognize situation professional aid required,0.8845,Positive,South Africa
Na,Na,,,,,,,Don’t know,,No,na,na,,,,,,,dont know,,,na na       dont know  ,0,Neutral,United States of America
Physical health issue is unpredictable. Revealing it will reduce the opportunity to get in to new opportunity,it might bring bad impression and they might thing that we are not cabable of working,,,,,,,Making awareness about mental health support available in organization,,no,physical health issue unpredictable revealing reduce opportunity get new opportunity,might bring bad impression might thing cabable working,,,,,,,making awareness mental health support available organization,,,physical health issue unpredictable revealing reduce opportunity get new opportunity might bring bad impression might thing cabable working       making awareness mental health support available organization  ,0.6908,Positive,United States of America
I feel like it would potentially make me more unemployable.,I feel like it would make me potentially unemployable to that employer.,"I have a tendency to downgrade the severity, so when I initially brought up my mental health we acknowledged it but didn't speak in-depth on it. Since breaking the ice, I've become comfortable breaking up mental health issues and negative feelings with my supervisor, who has been very supportive. We came up with a plan on how to better support me, encouraged taking PTO, downloading the mental health app our company pays the subscription for, and letting me emote at her when I'm overwhelmed.","Some of my coworkers I'm still uncomfortable speaking to about my mental health, but I'm very comfortable with most. I tend to open up first about my own mental health issues and then they disclose their own. It's been a really rewarding bonding experience, but I definitely still try to choose who I speak to about it.","One of my coworkers also sets their Slack status to ""At therapy"" often. I had just onboarded onto that team, so I reached out to them to let them know how much I appreciated it. From that conversation, we ended up talking about some of the ways we both want to improve our mental health and we grew a lot closer.",,,,"More leadership speaking vulnerably about mental health experiences. Avoiding toxic positivity and embracing validating feelings, encouraging people to take more time off, denouncing hustle culture in tech.",,,feel like would potentially make unemployable,feel like would make potentially unemployable employer,tendency downgrade severity initially brought mental health acknowledged didnt speak indepth since breaking ice ive become comfortable breaking mental health issue negative feeling supervisor supportive came plan better support encouraged taking pto downloading mental health app company pay subscription letting emote im overwhelmed,coworkers im still uncomfortable speaking mental health im comfortable tend open first mental health issue disclose really rewarding bonding experience definitely still try choose speak,one coworkers also set slack status therapy often onboarded onto team reached let know much appreciated conversation ended talking way want improve mental health grew lot closer,,,,leadership speaking vulnerably mental health experience avoiding toxic positivity embracing validating feeling encouraging people take time denouncing hustle culture tech,,,feel like would potentially make unemployable feel like would make potentially unemployable employer tendency downgrade severity initially brought mental health acknowledged didnt speak indepth since breaking ice ive become comfortable breaking mental health issue negative feeling supervisor supportive came plan better support encouraged taking pto downloading mental health app company pay subscription letting emote im overwhelmed coworkers im still uncomfortable speaking mental health im comfortable tend open first mental health issue disclose really rewarding bonding experience definitely still try choose speak one coworkers also set slack status therapy often onboarded onto team reached let know much appreciated conversation ended talking way want improve mental health grew lot closer    leadership speaking vulnerably mental health experience avoiding toxic positivity embracing validating feeling encouraging people take time denouncing hustle culture tech  ,0.9863,Positive,United States of America
A will to separate work life from private life,I'd like to deal with such issues privately,,,Discussing how to deal with depression related absence from work,,,,"Encourage ""unplugging"". Draw clear lanes between work and private life.",Situations indicating mental health issues interpreted as laziness,,separate work life private life,id like deal issue privately,,,discussing deal depression related absence work,,,,encourage unplugging draw clear lane work private life,situation indicating mental health issue interpreted laziness,,separate work life private life id like deal issue privately   discussing deal depression related absence work    encourage unplugging draw clear lane work private life situation indicating mental health issue interpreted laziness ,0.5719,Positive,India
"If it affected how I work, I would bring it up to make sure they can accommodate",I'd have to build up trust first,"I expressed that I was feeling burnt out, anxious, and stressed. My manager helped me realize I haven't taken a vacation longer than 1 day since February so he encouraged me to take a week off within the next month",,,,,,,,,affected work would bring make sure accommodate,id build trust first,expressed feeling burnt anxious stressed manager helped realize havent taken vacation longer day since february encouraged take week within next month,,,,,,,,,affected work would bring make sure accommodate id build trust first expressed feeling burnt anxious stressed manager helped realize havent taken vacation longer day since february encouraged take week within next month        ,0.5574,Positive,United States of America
Prefer not to answer,Prefer not to answer,,Prefer not to answer,,Prefer not to answer,,,,,,prefer answer,prefer answer,,prefer answer,,prefer answer,,,,,,prefer answer prefer answer  prefer answer  prefer answer     ,0,Neutral,Germany
Depends on if it at all concerns the company/hiring decisions.,Only if I thought it was important/necessary to do so.,,I spoke mostly about learning that I likely have ADD late in life. Co-workers either didn't really react or reacted positively.,I spoke about likely having ADD and the problems/reasons why resonated with them.,,,,"Mental health issues range from Very Serious to Minor but Still Not Helpful- all parts of that spectrum are legit, and understanding that anyone can suffer from any of them at any time and you may not know, and that it's ok to not be ok is important. Mental health applies to everyone.",,,depends concern companyhiring decision,thought importantnecessary,,spoke mostly learning likely add late life coworkers either didnt really react reacted positively,spoke likely add problemsreasons resonated,,,,mental health issue range serious minor still helpful part spectrum legit understanding anyone suffer time may know ok ok important mental health applies everyone,,,depends concern companyhiring decision thought importantnecessary  spoke mostly learning likely add late life coworkers either didnt really react reacted positively spoke likely add problemsreasons resonated    mental health issue range serious minor still helpful part spectrum legit understanding anyone suffer time may know ok ok important mental health applies everyone  ,0.7823,Positive,United States of America
"If it's obvious, like being overweight or if it's something that might put other people in danger.",I would not take the job if I thought my mental health would be a problem for that particular work.,,,,,"A few of my previous coworkers are now one of my best friends. The discussions has been specific and generic. I have discussed my anxiety, which is better today – the feeling of not being enough. My mental health has never been diagnosed by a doctor.",He explained that he got burned out. Needed to take sick leave. The experience he had was not that great. The company he worked for bought him out (Sweden has work regulations enforced protecting workers not being able to get fired without a lawfull reason),"Continuously remind where help can be found and being supportive of it. Also, make sure the culture in the company is supportive in all regards, not only for mental health.",There's a lot of negativity at my current job. A lot of elitism. Showing vulnerability is a sign of weakness unfortunately. It is not only regarding mental ilness. Even lack of knowledge is enough. It's getting to be a culture since lack of leadership that can help with a better work place.,Thank you for this initiative,obvious like overweight something might put people danger,would take job thought mental health would problem particular work,,,,,previous coworkers one best friend discussion specific generic discussed anxiety better today feeling enough mental health never diagnosed doctor,explained got burned needed take sick leave experience great company worked bought sweden work regulation enforced protecting worker able get fired without lawfull reason,continuously remind help found supportive also make sure culture company supportive regard mental health,there lot negativity current job lot elitism showing vulnerability sign weakness unfortunately regarding mental ilness even lack knowledge enough getting culture since lack leadership help better work place,thank initiative,obvious like overweight something might put people danger would take job thought mental health would problem particular work     previous coworkers one best friend discussion specific generic discussed anxiety better today feeling enough mental health never diagnosed doctor explained got burned needed take sick leave experience great company worked bought sweden work regulation enforced protecting worker able get fired without lawfull reason continuously remind help found supportive also make sure culture company supportive regard mental health there lot negativity current job lot elitism showing vulnerability sign weakness unfortunately regarding mental ilness even lack knowledge enough getting culture since lack leadership help better work place thank initiative,0.5423,Positive,Canada
,,"Only discussed to give them context for my behaviour. Employer appreciated the context, but no action was necessary.",,,,,,,,,,,discussed give context behaviour employer appreciated context action necessary,,,,,,,,,  discussed give context behaviour employer appreciated context action necessary        ,0.5106,Positive,United States of America
should be honest about the health issue unless there is health problem that should be secret.,if that is not secret why not.,,discussed about divorce and,his divorce,,,,work pressure and time management is very important. also leaders attitude to handle the communication with employees.,,,honest health issue unless health problem secret,secret,,discussed divorce,divorce,,,,work pressure time management important also leader attitude handle communication employee,,,honest health issue unless health problem secret secret  discussed divorce divorce    work pressure time management important also leader attitude handle communication employee  ,0.0516,Positive,Brazil
If it were pertinent.,stigma,,,,"I informed my manager of a mental health issue and the need for regular, frequent, couseling sessions.  He was supportive.",,,"More balance.  People work from many time zones and many odd schedules, creating the illusion of 24/7 workdays.  People see others texting/emailing at wee hours and think they need to too.  Leadership rewards ""effort"" and ""hard work"" more often than quality.  It's a vicious cycle.  I'd love to see a manager hand out a team reward to an individual for their achievement of doing good work while only logging 40 hours (or less).",,,pertinent,stigma,,,,informed manager mental health issue need regular frequent couseling session supportive,,,balance people work many time zone many odd schedule creating illusion workday people see others textingemailing wee hour think need leadership reward effort hard work often quality vicious cycle id love see manager hand team reward individual achievement good work logging hour less,,,pertinent stigma    informed manager mental health issue need regular frequent couseling session supportive   balance people work many time zone many odd schedule creating illusion workday people see others textingemailing wee hour think need leadership reward effort hard work often quality vicious cycle id love see manager hand team reward individual achievement good work logging hour less  ,0.9509,Positive,Spain
"I apply as a disabled person, but NEVER discuss details other than a few minor accommodations. It could only harm me.","Same as before -- actually my disability is my bipolar disorder, and I never bring up anything about it. Just the thought of doing so is horrifying!","I told my supervisor that I have bipolar disorder and that approximately once every 1-2 months, I needed to get ketamine infusions. He was very understanding.","I shared with two people, both people I supervise, that I have a serious mental illness. In both cases I wish I hadn't. One person seemed to respect me less and the other person was just uncomfortable.","One of the people I supervise confided in me about a mental health concern of another person I supervise. It was extremely helpful. I reached out to him and we had a long, honest conversation. I thanked the person who confided in me profusely and believe she'd do it again.","I had severe insomnia and mania and required hospitalization. My supervisor suggested I take the needed time off before I did! She was wonderful and very supportive. When I came back, she continued to show she cared.",,Someone I supervised shared that they had a substance use problem. I helped connect them to treatment and gave them as much time off for it as I could.,"First, stop discriminating openly against females and certain foreigners.  Until that changes, I see more refined and nuanced improvements as nearly impossible.","When I needed accommodations and asked, I felt belittled and humiliated.  I left the company within a week after their not granting them to me and making me feel awful.",,apply disabled person never discus detail minor accommodation could harm,actually disability bipolar disorder never bring anything thought horrifying,told supervisor bipolar disorder approximately every month needed get ketamine infusion understanding,shared two people people supervise serious mental illness case wish hadnt one person seemed respect less person uncomfortable,one people supervise confided mental health concern another person supervise extremely helpful reached long honest conversation thanked person confided profusely believe shed,severe insomnia mania required hospitalization supervisor suggested take needed time wonderful supportive came back continued show cared,,someone supervised shared substance use problem helped connect treatment gave much time could,first stop discriminating openly female certain foreigner change see refined nuanced improvement nearly impossible,needed accommodation asked felt belittled humiliated left company within week granting making feel awful,,apply disabled person never discus detail minor accommodation could harm actually disability bipolar disorder never bring anything thought horrifying told supervisor bipolar disorder approximately every month needed get ketamine infusion understanding shared two people people supervise serious mental illness case wish hadnt one person seemed respect less person uncomfortable one people supervise confided mental health concern another person supervise extremely helpful reached long honest conversation thanked person confided profusely believe shed severe insomnia mania required hospitalization supervisor suggested take needed time wonderful supportive came back continued show cared  someone supervised shared substance use problem helped connect treatment gave much time could first stop discriminating openly female certain foreigner change see refined nuanced improvement nearly impossible needed accommodation asked felt belittled humiliated left company within week granting making feel awful ,0.431,Positive,Spain
Chances nit getting placed,Not getting placed,,,,,,,"Your they should support, there should be camp for this every 3 Montha",,Not for now,chance nit getting placed,getting placed,,,,,,,support camp every montha,,,chance nit getting placed getting placed       support camp every montha  ,0.5719,Positive,United States of America
